activity,subject_id,avg_of_means
WALKING_DOWNSTAIRS,19                ,-0.0783064        
WALKING_DOWNSTAIRS,20                ,-0.2471697        
WALKING_DOWNSTAIRS,21                ,-0.2913020        
WALKING_DOWNSTAIRS,22                ,-0.2876648        
WALKING_DOWNSTAIRS,23                ,-0.2024655        
WALKING_DOWNSTAIRS,24                ,-0.3590860        
WALKING_DOWNSTAIRS,25                ,-0.4299244        
WALKING_DOWNSTAIRS,26                ,-0.3224731        
WALKING_DOWNSTAIRS,27                ,-0.3124461        
WALKING_DOWNSTAIRS,28                ,-0.2916509        
WALKING_DOWNSTAIRS,29                ,-0.3172628        
WALKING_DOWNSTAIRS,30                ,-0.3587906        
WALKING_UPSTAIRS  , 1                ,-0.4069966        
WALKING_UPSTAIRS  , 2                ,-0.3639833        
WALKING_UPSTAIRS  , 3                ,-0.4242747        
WALKING_UPSTAIRS  , 4                ,-0.4152604        
WALKING_UPSTAIRS  , 5                ,-0.3563535        
WALKING_UPSTAIRS  , 6                ,-0.3306423        
WALKING_UPSTAIRS  , 7                ,-0.4274083        
WALKING_UPSTAIRS  , 8                ,-0.2933778        
WALKING_UPSTAIRS  , 9                ,-0.4270754        
WALKING_UPSTAIRS  ,10                ,-0.3456526        
WALKING_UPSTAIRS  ,11                ,-0.4352751        
WALKING_UPSTAIRS  ,12                ,-0.4217916        
WALKING_UPSTAIRS  ,13                ,-0.4115821        
WALKING_UPSTAIRS  ,14                ,-0.2854864        
WALKING_UPSTAIRS  ,15                ,-0.3937209        
WALKING_UPSTAIRS  ,16                ,-0.4401465        
WALKING_UPSTAIRS  ,17                ,-0.4014314        
WALKING_UPSTAIRS  ,18                ,-0.4706815        
WALKING_UPSTAIRS  ,19                ,-0.3168211        
WALKING_UPSTAIRS  ,20                ,-0.3382919        
WALKING_UPSTAIRS  ,21                ,-0.3819670        
WALKING_UPSTAIRS  ,22                ,-0.3051855        
WALKING_UPSTAIRS  ,23                ,-0.3695813        
WALKING_UPSTAIRS  ,24                ,-0.4358383        
WALKING_UPSTAIRS  ,25                ,-0.4855122        
WALKING_UPSTAIRS  ,26                ,-0.4116728        
WALKING_UPSTAIRS  ,27                ,-0.4262671        
WALKING_UPSTAIRS  ,28                ,-0.4010930        
WALKING_UPSTAIRS  ,29                ,-0.3644297        
WALKING_UPSTAIRS  ,30                ,-0.4393707        
